student_id,batch,college,sex,age,rural_background,teaching_arm,admission_score,attendance_pct,pretest,posttest,gain,study_hours,burnout_score,burnout_band,satisfaction,passed
S185,2022,"Govt Medical College, Kozhikode",Female,23,Urban,Traditional lecture,67,84,61.8,63.8,2,22,57.2,Moderate,4,Yes
S186,2022,"Govt Medical College, Thrissur",Male,23,Rural,Flipped classroom,56.3,80.5,51.5,65.2,13.7,7.5,53.4,Moderate,1,Yes
S187,2023,"Govt Medical College, Kozhikode",Male,23,Urban,Traditional lecture,71.3,71.6,59.3,62.8,3.5,7.9,54.1,Moderate,5,Yes
S188,2024,"Govt Medical College, Kozhikode",Male,24,Urban,Traditional lecture,61.6,81.6,54.3,61,6.7,4.6,52.3,Moderate,4,Yes
S189,2023,"Govt Medical College, Alappuzha",Female,24,Urban,Traditional lecture,60.4,80.7,61,71.5,10.5,9.6,48.5,Moderate,3,Yes
S190,2024,"Govt Medical College, Thrissur",Female,22,Rural,Traditional lecture,60.2,71.3,59.6,69.5,9.9,8.7,76.9,High,3,Yes
S191,2024,"Govt Medical College, Alappuzha",Male,22,Rural,Flipped classroom,67.6,75.9,60.6,81.6,21,8.6,43.6,Moderate,3,Yes
S192,2024,"Govt Medical College, Alappuzha",Female,20,Urban,Flipped classroom,76.4,95.5,63.2,75.8,12.6,5.4,45.6,Moderate,3,Yes
S193,2024,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,59.6,75.9,50.4,52.2,1.8,6,49.1,Moderate,1,Yes
S194,2022,"Govt Medical College, Thrissur",Female,21,Rural,Flipped classroom,59.8,68.9,61.1,73.3,12.2,20.5,73.1,High,4,Yes
S195,2023,"Govt Medical College, Kozhikode",Female,19,Urban,Flipped classroom,59.2,71.9,66.3,77.5,11.2,14.7,58.2,Moderate,2,Yes
S196,2023,"Govt Medical College, Kozhikode",Female,20,Urban,Flipped classroom,75.7,74.6,60.9,75.3,14.4,22.7,55.1,Moderate,5,Yes
S197,2022,"Govt Medical College, Thrissur",Female,20,Urban,Flipped classroom,46.9,67.3,46.9,60.1,13.2,21,56.7,Moderate,4,Yes
S198,2022,"Govt Medical College, Thrissur",Male,21,Urban,Traditional lecture,70.3,64.8,86.4,100,13.6,7.2,59.4,Moderate,1,Yes
S199,2023,"Govt Medical College, Thrissur",Male,21,Urban,Flipped classroom,64.7,88.5,66.3,82.5,16.2,10.6,61.1,High,5,Yes
S200,2023,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,69.9,57.5,62.1,72.2,10.1,12.1,81.1,High,5,Yes
S201,2022,"Govt Medical College, Thrissur",Male,21,Urban,Traditional lecture,73.9,87.3,61.1,80.2,19.1,16.1,59.8,Moderate,3,Yes
S202,2024,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,70.5,73.2,59.2,64.4,5.2,21.1,62.4,High,5,Yes
S203,2022,"Govt Medical College, Thrissur",Female,22,Urban,Flipped classroom,60.4,85.1,49.3,64.3,15,10.9,56,Moderate,3,Yes
S204,2023,"Govt Medical College, Kozhikode",Female,22,Rural,Traditional lecture,70.3,97.3,64.2,77,12.8,14.7,49.4,Moderate,5,Yes
S205,2023,"Govt Medical College, Kozhikode",Male,23,Urban,Flipped classroom,62.9,77.6,55.8,80.6,24.8,9.8,50.7,Moderate,2,Yes
S206,2024,"Govt Medical College, Kozhikode",Male,24,Urban,Flipped classroom,79.5,76.9,69.5,83.5,14,5.8,58.8,Moderate,3,Yes
S207,2022,"Govt Medical College, Thrissur",Female,22,Urban,Flipped classroom,68.6,84.8,58.8,75.9,17.1,4.8,44,Moderate,3,Yes
S208,2022,"Govt Medical College, Alappuzha",Male,21,Rural,Flipped classroom,49.5,76.3,60.1,69.1,9,14.7,47.3,Moderate,1,Yes
S209,2023,"Govt Medical College, Thrissur",Female,23,Urban,Flipped classroom,70.6,100,67.5,88,20.5,6.3,48.4,Moderate,2,Yes
S210,2022,"Govt Medical College, Alappuzha",Female,20,Rural,Flipped classroom,54.7,76,42.7,57,14.3,12.3,61.6,High,2,Yes
S211,2022,"Govt Medical College, Kozhikode",Male,22,Rural,Traditional lecture,73.2,83.8,54.2,71.7,17.5,13.7,44.4,Moderate,2,Yes
S212,2023,"Govt Medical College, Kozhikode",Male,20,Urban,Flipped classroom,60,73.5,50,65.6,15.6,8.1,61.4,High,3,Yes
S213,2023,"Govt Medical College, Kozhikode",Female,20,Urban,Traditional lecture,73.4,85.7,59.9,67,7.1,5.8,45.2,Moderate,5,Yes
S214,2022,"Govt Medical College, Alappuzha",Female,21,Rural,Flipped classroom,73.4,83,71.4,90.4,19,9.4,50.9,Moderate,5,Yes
S215,2023,"Govt Medical College, Thrissur",Female,22,Urban,Flipped classroom,54.3,97.3,58.5,73.7,15.2,5.7,41.4,Moderate,5,Yes
S216,2024,"Govt Medical College, Kozhikode",Male,19,Rural,Traditional lecture,65.7,95.7,54.3,66.3,12,9,36.7,Moderate,3,Yes
S217,2023,"Govt Medical College, Kozhikode",Female,22,Urban,Flipped classroom,52.7,79.7,58.7,74.9,16.2,4.3,56.1,Moderate,4,Yes
S218,2024,"Govt Medical College, Kozhikode",Female,18,Rural,Flipped classroom,54.4,78.2,53,NA,NA,10.6,49,Moderate,2,No
S219,2022,"Govt Medical College, Kozhikode",Female,22,Urban,Traditional lecture,64.2,94.4,49,60,11,14.2,43.5,Moderate,4,Yes
S220,2024,"Govt Medical College, Kozhikode",Female,22,Urban,Flipped classroom,52.5,77.8,60.3,73.1,12.8,3.2,52.2,Moderate,1,Yes
S221,2023,"Govt Medical College, Thrissur",Male,22,Urban,Flipped classroom,79,67.5,61.4,79.5,18.1,19.5,40.4,Moderate,2,Yes
S222,2023,"Govt Medical College, Alappuzha",Female,21,Rural,Flipped classroom,86.3,76.6,57.4,71.8,14.4,14.3,68.1,High,5,Yes
S223,2024,"Govt Medical College, Alappuzha",Female,23,Urban,Traditional lecture,79.4,95.9,70.2,86.4,16.2,5.4,43.1,Moderate,4,Yes
S224,2024,"Govt Medical College, Alappuzha",Male,21,Urban,Traditional lecture,53.7,83.3,60,72,12,14.7,47.2,Moderate,4,Yes
S225,2023,"Govt Medical College, Thrissur",Male,22,Rural,Traditional lecture,94.4,80.6,63.3,78.2,14.9,8.5,40.7,Moderate,3,Yes
S226,2022,"Govt Medical College, Kozhikode",Female,20,Urban,Traditional lecture,85.8,95,74.3,87.8,13.5,6.3,43.6,Moderate,4,Yes
S227,2024,"Govt Medical College, Kozhikode",Female,22,Rural,Flipped classroom,60,81.9,55.9,71.2,15.3,17.3,64.6,High,5,Yes
S228,2022,"Govt Medical College, Thrissur",Female,22,Urban,Traditional lecture,73.9,89.7,69.2,75,5.8,8,30.3,Low,4,Yes
S229,2024,"Govt Medical College, Kozhikode",Female,23,Urban,Traditional lecture,60.4,68.4,64.7,80.5,15.8,8.1,50,Moderate,4,Yes
S230,2024,"Govt Medical College, Thrissur",Male,21,Rural,Traditional lecture,64.8,88,64.5,79.3,14.8,15.6,65,High,5,Yes
S231,2022,"Govt Medical College, Kozhikode",Female,21,Urban,Traditional lecture,80.5,67.9,73.3,69.8,-3.5,6.8,50.1,Moderate,3,Yes
S232,2022,"Govt Medical College, Thrissur",Male,22,Rural,Flipped classroom,79.7,65.9,53,65.5,12.5,14,64.9,High,4,Yes
S233,2024,"Govt Medical College, Kozhikode",Female,21,Urban,Flipped classroom,59.6,68.5,52.3,65.7,13.4,2.2,35.2,Moderate,3,Yes
S234,2023,"Govt Medical College, Thrissur",Female,20,Urban,Flipped classroom,59.5,73.9,50,70,20,10.4,45.4,Moderate,3,Yes
S235,2024,"Govt Medical College, Thrissur",Female,22,Rural,Traditional lecture,64,73,54.6,66.3,11.7,7.8,54.8,Moderate,4,Yes
S236,2024,"Govt Medical College, Thrissur",Male,20,Rural,Traditional lecture,61.6,87,69.9,85.5,15.6,7.1,43.7,Moderate,3,Yes
S237,2024,"Govt Medical College, Thrissur",Male,23,Urban,Traditional lecture,57.9,74.7,56.3,68.9,12.6,21,42.5,Moderate,5,Yes
S238,2024,"Govt Medical College, Kozhikode",Male,22,Urban,Flipped classroom,84.1,87.9,73.5,86.9,13.4,17.2,56.5,Moderate,3,Yes
S239,2023,"Govt Medical College, Thrissur",Female,21,Rural,Traditional lecture,66.3,80.3,72.2,80.4,8.2,15.3,50.4,Moderate,3,Yes
S240,2024,"Govt Medical College, Alappuzha",Male,22,Rural,Flipped classroom,72.1,83.1,72.8,87.3,14.5,6,46.9,Moderate,4,Yes
